date,year,month,day,tavg,tmin,tmax,wdir,wspd,humidity,uvindex,sunrise,sunset,durationday,season,wdirn
2017-06-17,2017,06,17,22.1,14.2,28.5,West,8.3,65.3,9,04:42:44,21:20:20,997,spring,271.0
2017-06-18,2017,06,18,24.1,15.6,31.2,WSW,5.9,60.0,9,04:42:46,21:20:42,997,spring,249.0
2017-06-19,2017,06,19,25.2,16.8,32.4,SE,7.1,58.4,9,04:42:51,21:21:00,998,spring,130.0
2017-06-20,2017,06,20,24.0,17.1,30.7,ESE,11.2,62.1,8,04:43:00,21:21:16,998,spring,107.0
2017-06-21,2017,06,21,24.4,15.8,33.2,SE,13.6,65.7,8,04:43:11,21:21:28,998,summer,126.0
2017-06-22,2017,06,22,20.6,17.7,23.0,WSW,18.5,68.0,9,04:43:26,21:21:38,998,summer,258.0
2017-06-23,2017,06,23,18.3,12.9,22.9,West,22.2,65.6,9,04:43:43,21:21:44,998,summer,260.0
2017-06-24,2017,06,24,19.1,16.8,22.5,WSW,21.1,76.0,6,04:44:04,21:21:48,997,summer,251.0
2017-06-25,2017,06,25,18.0,14.5,22.7,West,22.7,69.1,5,04:44:27,21:21:48,997,summer,267.0
2017-06-26,2017,06,26,17.9,10.6,23.6,NE,9.4,49.9,8,04:44:53,21:21:45,996,summer,52.0
2017-06-27,2017,06,27,17.0,15.0,20.6,East,14.9,76.2,3,04:45:22,21:21:39,996,summer,89.0
2017-06-28,2017,06,28,14.9,12.9,16.5,North,12.6,86.8,4,04:45:54,21:21:30,995,summer,10.0
2017-06-29,2017,06,29,14.5,11.4,17.2,WNW,11.5,72.5,5,04:46:28,21:21:17,994,summer,283.0
2017-06-30,2017,06,30,17.0,13.6,20.6,NW,10.9,67.6,7,04:47:05,21:21:02,993,summer,313.0
2017-07-01,2017,07,01,17.6,14.1,22.2,NW,15.9,66.9,8,04:47:45,21:20:43,992,summer,309.0
2017-07-02,2017,07,02,18.3,14.4,22.7,WNW,15.2,58.6,9,04:48:27,21:20:22,991,summer,302.0
2017-07-03,2017,07,03,18.7,14.3,23.6,West,16.9,64.8,8,04:49:12,21:19:57,990,summer,264.0
2017-07-04,2017,07,04,18.9,12.1,24.1,West,8.7,66.3,6,04:50:00,21:19:29,989,summer,260.0
2017-07-05,2017,07,05,21.7,13.5,29.3,ENE,8.1,59.3,9,04:50:50,21:18:58,988,summer,70.0
2017-07-06,2017,07,06,24.4,18.2,31.2,ESE,12.9,59.2,8,04:51:42,21:18:25,986,summer,117.0
2017-07-07,2017,07,07,22.6,17.0,28.3,WNW,14.2,56.1,7,04:52:36,21:17:48,985,summer,283.0
2017-07-08,2017,07,08,21.0,17.2,25.3,NNW,11.6,56.8,8,04:53:33,21:17:08,983,summer,334.0
2017-07-09,2017,07,09,22.1,17.4,27.8,South,11.5,60.6,8,04:54:31,21:16:26,981,summer,189.0
2017-07-10,2017,07,10,20.2,15.9,24.5,West,14.5,60.0,9,04:55:32,21:15:40,980,summer,272.0
2017-07-11,2017,07,11,16.0,14.3,19.9,SW,13.9,77.6,6,04:56:35,21:14:52,978,summer,227.0
2017-07-12,2017,07,12,16.9,14.1,21.4,NNE,16.4,72.7,9,04:57:40,21:14:01,976,summer,28.0
2017-07-13,2017,07,13,18.1,13.6,22.6,SW,10.1,59.2,6,04:58:47,21:13:07,974,summer,226.0
2017-07-14,2017,07,14,17.3,13.7,20.7,WNW,15.3,62.3,9,04:59:55,21:12:10,972,summer,293.0
2017-07-15,2017,07,15,17.5,14.7,21.5,WSW,14.4,73.7,5,05:01:06,21:11:11,970,summer,254.0
2017-07-16,2017,07,16,20.9,17.4,24.5,West,15.5,74.8,6,05:02:17,21:10:09,967,summer,279.0
2017-07-17,2017,07,17,20.3,14.4,25.4,NE,11.4,52.0,6,05:03:31,21:09:04,965,summer,40.0
2017-07-18,2017,07,18,21.1,16.6,26.4,East,19.4,63.0,8,05:04:46,21:07:57,963,summer,90.0
2017-07-19,2017,07,19,19.6,17.9,22.2,South,14.8,82.2,7,05:06:03,21:06:48,960,summer,178.0
2017-07-20,2017,07,20,17.6,14.5,20.4,SW,16.9,72.6,8,05:07:20,21:05:36,958,summer,223.5
2017-07-21,2017,07,21,17.4,12.6,22.1,South,19.8,63.7,6,05:08:40,21:04:21,955,summer,180.0
2017-07-22,2017,07,22,14.4,12.7,18.7,SSW,9.4,87.3,4,05:10:00,21:03:04,953,summer,196.0
2017-07-23,2017,07,23,14.9,10.4,19.4,WSW,12.3,83.4,6,05:11:22,21:01:45,950,summer,256.0
2017-07-24,2017,07,24,15.9,13.9,18.2,NNW,15.6,82.0,6,05:12:45,21:00:24,947,summer,336.0
2017-07-25,2017,07,25,17.3,12.7,22.7,NNW,11.0,70.2,8,05:14:08,20:59:00,944,summer,336.0
2017-07-26,2017,07,26,17.4,14.6,20.8,SSW,14.9,84.3,5,05:15:33,20:57:34,942,summer,206.0
2017-07-27,2017,07,27,16.4,13.7,20.8,WSW,17.0,76.7,7,05:16:59,20:56:07,939,summer,245.0
2017-07-28,2017,07,28,16.6,13.7,20.8,SW,21.1,78.4,7,05:18:26,20:54:37,936,summer,229.0
2017-07-29,2017,07,29,16.8,14.6,19.6,SW,13.4,81.7,6,05:19:53,20:53:05,933,summer,232.0
2017-07-30,2017,07,30,16.9,14.2,19.8,WSW,18.1,75.5,8,05:21:22,20:51:31,930,summer,240.0
